Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Arab Emirates,Included / International,Price / International,Compare At Price / International,Status
tesla-air-inlet-filter,Air Inlet Filter,"<p>Clevisco's Cabin Air Filter and Filter Cover for Tesla Model 3/Y, HEPA Air Intake Filter Replacement </p>
<h1 class=""main-page-title page-title h0""></h1>
<div class=""rte""></div>",Cleviscoautomotive,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,Tesla Accessories,"Tesla Accessories, Tesla Air Filter, Tesla Air Freshener, Tesla Cabin Filter",TRUE,Title,Default Title,,,,,TFC,0,shopify,deny,manual,39,,TRUE,TRUE,'710594325518,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_333ef0cd0b1043bfa37b8c435b076255_mv2.jpg?v=1688208020,1,Clevisco Tesla Air Inlet Filter Tesla Air Filter Tesla Cabin Filter HEPA Filter Carbon Composite Layer Air Filter Tesla Model 3 Accessories Tesla Model Y Accessories,FALSE,Clevisco Tesla Air Inlet Filter,"Enhance your Tesla Model 3 and Model Y with our exquisite Cabin Air Filter Replacement. Enjoy luxury and freshness with our premium honeycomb mesh purification system, activated charcoal, and durable design. Experience the ultimate driving environment curated for Tesla connoisseurs.",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
tesla-cabin-air-filter,Cabin Air Filter,Clevisco's Dual Hepa+carbon filter for Model 3 &amp; Model Y with air filter replacement kit<quillbot-extension-portal></quillbot-extension-portal>,Cleviscoautomotive,Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts,Tesla Accessories,"Air Filter, Cabin Filter, HEPA Filter, Tesla Air Filter, Tesla Cabin Filter",TRUE,Title,Default Title,,,,,TF,0,shopify,deny,manual,49,,TRUE,TRUE,'710594325570,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_50d0981d5c5b46f5be3eb12c0a315981_mv2.jpg?v=1688207863,1,Clevisco Tesla Cabin Air Filter Air Filter HEPA Air Filter Tesla Model 3 Accessories Tesla Model Y Accessories,FALSE,Clevisco Tesla Cabin Air Filter HEPA Filter,"Upgrade your Tesla Model 3 and Model Y with our premium Cabin Air Filter. Enjoy enhanced air quality with our innovative mesh purification system. Experience a clean and fresh environment inside your car. Crafted from high-quality materials, our durable and OEM-compatible design ensures hassle-free installation.",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
tesla-cabin-air-filter,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_fb9ffb46913a4ab9aadd85f67b537bbf_mv2.jpg?v=1688207863,2,Clevisco Tesla Cabin Air Filter Air Filter HEPA Air Filter Tesla Model 3 Accessories Tesla Model Y Accessories,,,,,,,,,,,,,,,,,,,,,,,
tesla-car-perfume,Car Perfume,"Clevisco's Tesla Model 3 Model Y Air Fresheners, Car Aromatherapy Modern and Stylish Aromatherapy Accessories for Car Outlet Vent Diffuser with 4 Pcs Scent Stick 2016-2022<quillbot-extension-portal></quillbot-extension-portal>",Cleviscoautomotive,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle Air Fresheners",Tesla Accessories,"Tesla Air Freshener, Tesla Car Fragrance, Tesla Car Perfume",TRUE,Title,Default Title,,,,,TCF,0,shopify,deny,manual,69,,TRUE,TRUE,'710594325587,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_2e804db2ba0e44598cae770533e5cff7_mv2.jpg?v=1688207304,1,"Clevisco Tesla Car Perfume, Tesla Model 3 Accessories Tesla Model Y Accessories Tesla Air Freshener Tesla Air Freshner",FALSE,Clevisco Tesla Car Perfume,"Enhance your Tesla Model 3 and Model Y with our exclusive Air Freshener Accessory. Immerse yourself in enduring fragrance with our alcohol-free aromatherapy. Crafted with care, it eliminates odors and purifies the air. Personalize your aroma, enjoy optimal airflow, and experience swift installation.",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
tesla-model-3-y-center-console-drawer,Center Console Drawer,Clevisco's Soft Fabric Console Organizer/Storage Box accessory for TESLA model 3/Y 2022 that Slides and Gives You a Hidden Cubby Storage Box<quillbot-extension-portal></quillbot-extension-portal>,Cleviscoautomotive,Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Storage & Cargo > Vehicle Organizers,Tesla Accessories,"Tesla Drawer, Tesla Organizer, Tesla Storage Organizer, Tesla Tray",TRUE,Title,Default Title,,,,,t3,0,shopify,deny,manual,49,,TRUE,TRUE,X001ERT4ET,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_f6ac12ed5cc04debbbf115f8fe585f98_mv2.png?v=1688244898,1,Clevisco Tesla center console storage organizer box phone holder card holder coins coin holder drawer,FALSE,Clevisco Tesla Model 3/Y Center Console Drawer,"Experience clarity and organization with the Clevisco Console Organizer. Declutter your car's center console for a clear mind. Our product features four compartments, engineered for perfect fit in Model 3 and Model Y*(2022). Preserve luxury with flocked lining. Achieve order and elegance.",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
tesla-model-3-y-center-console-drawer,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_3a995bfdba76464da99b5172448d50af_mv2.jpg?v=1688244898,2,Clevisco Tesla center console storage organizer box phone holder card holder coins coin holder drawer,,,,,,,,,,,,,,,,,,,,,,,
storagearm-rest1,Centre Console Storage,"<p>Tesla Model 3 Model Y Centre Storage Box Handle Pocket Armrest storage Passenger Storage Tray Container</p>
<quillbot-extension-portal></quillbot-extension-portal>",Cleviscoautomotive,Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Storage & Cargo > Vehicle Organizers,Tesla Accessories,"Tesla Accessories, Tesla Center Console, Tesla Center Console Organizer, Tesla Storage, Tesla Storage Organizer",TRUE,Title,Default Title,,,,,M3YCSST,0,shopify,deny,manual,49,,TRUE,TRUE,'710594325495,https://cdn.shopify.com/s/files/1/0779/1827/3853/products/H44e64402394244d283058a62f9c2b27bI.jpg_960x960_5f75f030-7cd9-4314-9ae2-4cf42b410d71.jpg?v=1687653309,1,Clevisco Tesla center console storage organizer box phone holder card holder coins coin holder,FALSE,Clevisco Tesla Model 3 Model Y Centre Console Storage Organizer Tray Container,"Enhance your Tesla Model 3 and Model Y with our luxurious Center Console storage box. Experience luxury and convenience with additional storage space for your essentials. Meticulously crafted for durability, easy installation, and perfect fit. Elevate your driving experience with our premium storage solution",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
tesla-storage-box-centre-console-1,Console Storage 1,Clevisco's Tesla Model 3 Model Y Center Console Storage Box Pocket Center Storage Passenger Storage Container Center Storage Tesla Accessory<quillbot-extension-portal></quillbot-extension-portal>,Cleviscoautomotive,Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Storage & Cargo > Vehicle Organizers,Tesla Accessories,"Tesla Accessories, Tesla Center Console, Tesla Center Console Organizer, Tesla Drawer, Tesla Organizer, Tesla Storage, Tesla Storage Organizer, Tesla Tray",TRUE,Title,Default Title,,,,,M3YCCST,0,shopify,deny,manual,39,,TRUE,TRUE,'710594325488,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_6011a6307b454486a65dd5a51d78c44b_mv2.jpg?v=1688245533,1,Clevisco Tesla center console storage organizer box phone holder card holder coins coin holder,FALSE,Clevisco Tesla Storage Box Centre Console 1,Elevate your Tesla's interior with our exquisite Storage Box designed for the Center Console. Enjoy luxurious storage and organization for your essentials. Meticulously crafted for durability and convenience. Enhance your driving experience with our stylish solution.,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
tesla-console-wrap,Console Wrap,"<p>Clevisco's Center Console Wrap Skin Interior (2) Sets Compatible with MODEL 3 MODEL Y 2021-2022</p>
<quillbot-extension-portal></quillbot-extension-portal>",Cleviscoautomotive,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor",Tesla Accessories,"Console Skin Tesla, Console Wrap Tesla, Tesla Console Skin, Tesla Console Skin Wrap, Tesla Console Wrap",TRUE,Color,Wooden Brown,,,,,CW-WB,0,shopify,deny,manual,49,,TRUE,TRUE,7.11E+11,https://cdn.shopify.com/s/files/1/0779/1827/3853/products/7b3e7f_4e8d8144b0f44dc793a1179e57958650_mv2.jpg?v=1688131264,1,Tesla Console Wrap Wooden Brown Tesla Model 3 Tesla Model Y Console Skin ,FALSE,Clevisco Tesla Console Wrap Wooden Brown / Modern White,"Elevate your Tesla's interior with our exquisite console wrap. Meticulously designed for Model 3 and Model Y, it seamlessly matches the dash trim. Achieve a flawless color match, precise finish, and luxurious texture. Enhance elegance with our factory-like installation.",,,Adult,7.11E+11,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/products/7b3e7f_4e8d8144b0f44dc793a1179e57958650_mv2.jpg?v=1688131264,kg,,49,TRUE,TRUE,49,,active
tesla-console-wrap,,,,,,,,,Modern White,,,,,CW-MW,0,shopify,deny,manual,49,,TRUE,TRUE,7.11E+11,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_0018930c69674879980f19e7ffd34add_mv2.jpg?v=1688131264,2,Tesla Console Wrap Wooden Brown Tesla Model 3 Tesla Model Y Console Skin ,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_0018930c69674879980f19e7ffd34add_mv2.jpg?v=1688131264,kg,,49,,,,,
tesla-door-handle-storage-box-container,Door Storage,Clevisco's Tesla Model 3 Model Y Door Side Storage Box Handle Pocket Armrest storage Passenger Storage Container<quillbot-extension-portal></quillbot-extension-portal>,Cleviscoautomotive,Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Storage & Cargo > Vehicle Organizers,Tesla Accessories,"Tesla Accessories, Tesla Center Console Organizer, Tesla Door Storage, Tesla Door Storage Organizer, Tesla Organizer, Tesla Storage, Tesla Storage Organizer, Tesla Tray",TRUE,Model,3,,,,,M3YDST,0,shopify,deny,manual,49,,TRUE,TRUE,'710594325501,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_697fb35bd3ec4ac78816968caa7d22d3_mv2.jpg?v=1688245717,1,Clevisco Tesla door storage armrest arm rest storage organizer box phone holder card holder coins coin holder,FALSE,Clevisco Tesla Door Handle Storage Box Container,"Elevate your Tesla's storage capabilities with our luxurious Door Armrest Storage Box. Experience convenience and luxury with its meticulous design. Seamlessly fitting into the armrest area, it offers organization for essential items. Enjoy premium build quality and effortless installation.",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
tesla-door-handle-storage-box-container,,,,,,,,,Y,,,,,M3YDST-2,0,shopify,deny,manual,49,,TRUE,TRUE,,,,Clevisco Tesla door storage armrest arm rest storage organizer box phone holder card holder coins coin holder,,,,,,,,,,,,,,,,kg,,,,,,,
wireless-earbuds-fit,Earphones Fit,Clevisco's Sound EarBuds FIT Bluetooth Wireless UHD 9D 5.1 Surround with MIC and Charging Case iOS/Android/Windows<quillbot-extension-portal></quillbot-extension-portal>,Cleviscoelectronics,Electronics > Audio > Audio Components > Headphones & Headsets,Electronics,"Earpods, Wireless Earphones, Wireless Earpods, Wireless Headphones, Wireless Headset",TRUE,Title,Default Title,,,,,2L-5PE2-92GH,0,shopify,deny,manual,48,,TRUE,TRUE,'710594324696,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_287f1fd21df04a1cba48af090d5a9c64_mv2.jpg?v=1688246239,1,,FALSE,Clevisco Earphones Fit,"Elevate your audio experience with Clevisco Fit Earbuds, designed for FIT humans. Enjoy precision, elegance, and superior sound quality. Seamlessly connect to devices, experience 9D audio, immersive Super 5.1 Spatial Audio, and active noise cancellation. Benefit from fast pairing, water resistance, and all-day battery.",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
wireless-earbuds-pro,Earphones Pro,Clevisco's Sound Earpods Pro Bluetooth Wireless UHD 9D 5.1 Surround Audio Mic and Charging Case Works with iOS/Android/WINDOWSs,Cleviscoelectronics,Electronics > Audio > Audio Components > Headphones & Headsets,Electronics,"Earpods, Wireless Earphones, Wireless Earpods, Wireless Headphones, Wireless Headset",TRUE,Title,Default Title,,,,,76-5FMX-44B0,0,shopify,deny,manual,48,,TRUE,TRUE,'710594324702,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_0f2009e4243446a0b2980b0d39068bfd_mv2_77d62eec-a7b8-4b1d-a840-63c54bdd2bfb.jpg?v=1688246477,1,,FALSE,Clevisco Earphones Pro,"Experience the ultimate earbuds designed for Pro Humans with RAPEX Earbuds. Enjoy exceptional sound quality, super bass, and advanced features like active noise cancellation and 9D audio clarity. Simply take them out of the case for instant device connection. Low energy consumption and IPX8 Water Resistance.",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
wireless-ergonomic-vertical-mouse,Ergo Mouse,"Clevisco's Wireless Ergonomic vertical mouse, Comfortable and classy, Adjustable DPI Sensitivity, 5-button design, compatible with computers, Laptops, PC, and Macs. Comes with Free Batteries (2Pcs).<quillbot-extension-portal></quillbot-extension-portal>",Cleviscoelectronics,Electronics > Electronics Accessories > Computer Components > Input Devices > Mice & Trackballs,Electronics,"Comfortable Mouse, Ergonomic Accessories, Ergonomic Mouse, Wireless Mouse",TRUE,Title,Default Title,,,,,MOUSE1,0,shopify,deny,manual,49,,TRUE,TRUE,'710594325389,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_0cc8f45c4734450f8575ddc3b1e27570_mv2.jpg?v=1688246621,1,,FALSE,Clevisco Wireless Ergonomic (Vertical) Mouse ,Experience unparalleled wrist and strain relief with our revolutionary ergonomic mouse. Prevent wrist pain and scarring with its innovative vertical design. Enjoy seamless connectivity and adjustable sensitivity levels for precise and comfortable use. Compatible with leading operating systems. Say goodbye to discomfort,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
wireless-ergonomic-vertical-mouse,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_5b5684ddb4f1470987ed9f36bbe62635_mv2.jpg?v=1688246621,2,,,,,,,,,,,,,,,,,,,,,,,,
wireless-ergonomic-vertical-mouse,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_b18be40c15894536879fea5f1887fa99_mv2.jpg?v=1688246621,3,,,,,,,,,,,,,,,,,,,,,,,,
wireless-ergonomic-vertical-mouse,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_10e67ef38e1c456097d73a89e1ebb4ff_mv2.jpg?v=1688246621,4,,,,,,,,,,,,,,,,,,,,,,,,
wireless-ergonomic-vertical-mouse,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_f297bd608da1465992a4bee4d1bc3d61_mv2.jpg?v=1688246621,5,,,,,,,,,,,,,,,,,,,,,,,,
wireless-ergonomic-vertical-mouse,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_cdc13d836a934ad5b36d9c2fb62e4b8d_mv2.jpg?v=1688246621,6,,,,,,,,,,,,,,,,,,,,,,,,
ev-charging-dock,EV Charger,Clevisco's Electric Type 2 Charger for Electric vehicles<quillbot-extension-portal></quillbot-extension-portal>,Cleviscoautomotive,Vehicles & Parts > Vehicle Parts & Accessories,Tesla Accessories,"EV Charger, EV Charging Adapter, EV Charging Dock, EV Type 2 Charger, Tesla Supercharger, Type 2 Charger",TRUE,Power,7 Kw,,,,,EV7,0,shopify,deny,manual,2499,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/7b3e7f_4764b70d25724f39a6aa0c9d8e261944_mv2.jpg?v=1688247120,1,,FALSE,"Clevisco EV Charging Charger Dock Adapter 7Kw, 11Kw, 22Kw","Clevisco's Electric Type 2 Charger for Electric vehicles. EV Charging Station Dock for EV (Tesla, Lucid, Volkswagen and more.). Tesla Supercharger",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
ev-charging-dock,,,,,,,,,11 Kw,,,,,EV11,0,shopify,deny,manual,2799,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
ev-charging-dock,,,,,,,,,22 Kw,,,,,EV22,0,shopify,deny,manual,3099,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
feather-gaming-mouse,Feather Mouse,"Clevisco's Lightweight Wired RGB Gaming Mouse with 7 Programmable Buttons, Up to 5500 DPI, Ergonomic Form Factor<quillbot-extension-portal></quillbot-extension-portal>",Cleviscoelectronics,Electronics > Electronics Accessories > Computer Components > Input Devices > Mice & Trackballs,Electronic Accessory,"Gaming Mouse, High DPI Mouse, LED Gaming Mouse, LED Mouse, Light Mouse, RGB Mouse",TRUE,Title,Default Title,,,,,MF,0,shopify,deny,manual,59,,TRUE,TRUE,'710594325624,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_787344ba185f450ebcaa2d8db0705a46_mv2.jpg?v=1688301199,1,,FALSE,Clevisco Feather Gaming Mouse LED RGB Lightweight,"Elevate your gaming experience with our exceptional gaming mouse. Designed for ergonomics and comfort, it offers personalization with captivating lighting effects. Enjoy hassle-free setup and precise movements with the high-quality laser sensor. Enhance your gaming performance with our professional-grade mouse.",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
tesla-screen-frame-protector,Frame Protector,"Clevisco's Tesla Model 3 / Y Dashboard Touchscreen, Silicone Frame Protector Cover for the Tesla Screen<quillbot-extension-portal></quillbot-extension-portal>",Cleviscoautomotive,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Decor > Vehicle Dashboard Accessories",Tesla Accessories,"Tesla Accessories, Tesla Center Console, Tesla Frame Protector, Tesla Screen Frame Protector, Tesla Screen Frame Rubber, Tesla Screen Frame Silicon, Tesla Screen Glass Protector, Tesla Screen Protector",TRUE,Color,Black,,,,,SSB,0,shopify,deny,manual,19,,TRUE,TRUE,'710594325426,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_69b9acd499bd49f08dba1aa219aac46a_mv2.jpg?v=1688301358,1,,FALSE,Clevisco Tesla Screen Frame Protector,"Enhance and protect your Tesla Model 3 and Model Y with our premium Screen Frame Protector. Safeguard against scratches, fingerprints, and dust while adding a luxurious factory-like aesthetic. Effortless installation, exceptional durability, and flawless style. Elevate your Tesla with this exquisite accessory.",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
tesla-screen-frame-protector,,,,,,,,,White,,,,,SSW,0,shopify,deny,manual,19,,TRUE,TRUE,'710594325433,,,,,,,,,,,,,,,,,,,kg,,,,,,,
65w-fast-gan-charger-gallium-nitride,GaN Charger,"Clevisco's 65W GaN(Galium Nitride) Charger 3 Port Dual USB Type C and USB A Power Adapter Laptop Wall Charging Plug GaN Power Delivery supported, Compatible with major laptops, all smartphones, tablets, android, IOS, Mac OS, and windows, etc. quick charge 3.0 technology.<quillbot-extension-portal></quillbot-extension-portal>",Cleviscoelectronics,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,Electronics,"Charging Plug, Fast Charger, Fast Charger Adapter, High Power Adapter, High Wattage Adapter, Laptop Charger, Laptop Charging Adapter, Laptop Charging Plug, Phone Charger, Phone Charging Adapter, Phone Charging Plug, Smartphone Charger, USB Power Adapter, USB-A Power Adapter, USB-C Power Adapter",TRUE,Color,Black,,,,,,0,shopify,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_292bc817d26741a094a73f3c8482ea46_mv2.jpg?v=1687722384,1,,FALSE,Clevisco 65Watt Fast GaN Charger (Gallium Nitride),"Experience the ultimate charging solution with our revolutionary 65-Watt Fast Charger. Delivering remarkable peak output, supporting PD fast charging and quick charge 3.0. Sleek, compact, and portable design. Charge multiple devices simultaneously. Unrivaled efficiency and peak power performance. Premium Fast Charger.",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_292bc817d26741a094a73f3c8482ea46_mv2.jpg?v=1687722384,kg,,,TRUE,TRUE,,,active
65w-fast-gan-charger-gallium-nitride,,,,,,,,,White,,,,,,0,shopify,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_c2815df9efa04842bcd06fa42d0cdad5_mv2.jpg?v=1687722384,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_c2815df9efa04842bcd06fa42d0cdad5_mv2.jpg?v=1687722384,kg,,,,,,,
tesla-model-s-3-x-y-lifter-jack-pucks-car-body-frame-chassis-battery-protector,Lifter Jack Pucks,"Clevisco's Jack Lift Pucks for Tesla Model 3/Y/S/X, Jack Lift Pad Adapter, Tesla Accessory To Protect Battery &amp; Chassis<quillbot-extension-portal></quillbot-extension-portal>",Cleviscoautomotive,Vehicles & Parts > Vehicle Parts & Accessories,Tesla Accessories,"Clevisco Jack Lift Pucks, Jack Lift Pad Adapter for Tesla, Jack Lift Pucks for Tesla, Tesla Accessory to Protect Battery & Chassis, Tesla Jack Lift, Tesla Jack Lift Pad Adapter, Tesla Lift, Tesla Lift Points Adapter, Tesla Lifter Jacks, Tesla Model 3 Jack Lift Pucks, Tesla Model S Jack Lift Pucks, Tesla Model X Jack Lift Pucks, Tesla Model Y Jack Lift Pucks",TRUE,Title,Default Title,,,,,M3MYLJ,0,shopify,deny,manual,67,,TRUE,TRUE,'710594325549,https://cdn.shopify.com/s/files/1/0779/1827/3853/files/d54aea_2f7f91fdf2fc42dbb37ffa147d182e2c_mv2.jpg?v=1688303385,1,,FALSE,Clevisco Tesla Lifter Jack Pucks - Car Body Chassis/Battery Protector,"Protect your Tesla vehicle during lifting operations with our premium Jack Lift Pucks. Meticulously crafted for durability and easy installation. Elevate your Tesla experience with our reliable and luxurious Jack Lift Puck, offering unparalleled protection.",,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
